title,paragraph
Herbert Bedford,"Herbert Bedford (23 January 1867 – 13 March 1945) was a composer, author, miniature painter and inventor. He was married to the soprano and composer Liza Lehmann from 1894 until her death in 1918. His grandsons were the conductor Steuart Bedford and the composer David Bedford.[1]"
Amy Beach,"Amy Marcy Cheney Beach (September 5, 1867 – December 27, 1944) was an American composer and pianist. She was the first successful American female composer of large-scale art music. Her ""Gaelic"" Symphony, premiered by the Boston Symphony Orchestra in 1896, was the first symphony composed and published by an American woman. She was one of the first American composers to succeed without the benefit of European training, and one of the most respected and acclaimed American composers of her era. As a pianist, she was acclaimed for concerts she gave featuring her own music in the United States and in Germany."
Philippe-Alexis Béancourt,Philippe-Alexis Béancourt (10 June 1792 – 6 January 1862) was a 19th-century French composer and conductor.
Max Josef Beer,"Max Josef Beer  (August 25, 1851 - 25 November 1908 in Vienna) was an Austrian composer."
William Henry Bell,"William Henry Bell, known largely by his initials, W H Bell (20 August 1873 – 13 April 1946), was an English composer, conductor and lecturer."
Ján Levoslav Bella,"Ján Levoslav Bella (German Johann Leopold Bella; 4 September 1843 – 25 May 1936) was a Slovak composer, conductor and music teacher, who wrote in the spirit of the Nationalist Romantic movement of the 19th century. One of the founders of Slovak composer music."
Giuseppe Bellenghi,"Giuseppe Bellenghi (1847 in Bologna – 17 October 1902 in Florence) was a virtuoso violincellist and mandolinist, and composer. He was remembered in 1914 as ""a devoted champion of the mandolin.""[1]"
Herman Bemberg,Herman Emanuel Bemberg Ocampo (29 March 1859 – 21 July 1931)[1] was a German-Argentine composer.
Victor Bendix,"Victor Emanuel Bendix (17 May 1851 in Copenhagen – January 1926) was a Danish composer, conductor and pianist, who came from a Jewish family.  His teachers included Niels Gade.[1]"
Franz Bendel,"Franz Bendel (23 March 1833 – 3 July 1874) was a German Bohemian pianist, composer and teacher.[1]"
Vincenzo Bellini,"Vincenzo Salvatore Carmelo Francesco Bellini (Italian: [vinˈtʃɛntso salvaˈtoːre karˈmɛːlo franˈtʃesko belˈliːni] (listen); 3 November 1801 – 23 September 1835) was an Italian opera composer,[1][2] who was known for his long-flowing melodic lines for which he was named ""the Swan of Catania"".[3] Many years later, in 1898, Giuseppe Verdi ""praised the broad curves of Bellini's melody: 'there are extremely long melodies as no-one else had ever made before'.""[4]"
François Benoist,"François Benoist (10 September 1794 – 6 May 1878) was a French organist, composer, and pedagogue."
Julius Benedict,"Sir Julius Benedict (27 November 1804 – 5 June 1885) was a German-born composer and conductor, resident in England for most of his career."
Soledad Bengoecha de Cármena,"Soledad Bengoecha de Cármena (21 March 1849 – 1893) was a Spanish composer. She was born in Madrid, and studied music with Arriola, Jesús de Monasterio and Nicolás Rodríguez Ledesma. She died in Madrid.[1][2]"
Ludwig van Beethoven,"Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. Beethoven remains one of the most admired composers in the history of Western music; his works rank amongst the most performed of the classical music repertoire and span the transition from the Classical period to the Romantic era in classical music. His career has conventionally been divided into early, middle, and late periods. His early period, during which he forged his craft, is typically considered to have lasted until 1802. From 1802 to around 1812, his middle period showed an individual development from the styles of Joseph Haydn and Wolfgang Amadeus Mozart, and is sometimes characterized as heroic. During this time, he began to grow increasingly deaf. In his late period, from 1812 to 1827, he extended his innovations in musical form and expression."
Karel Bendl,"Karel Bendl, or German: Karl Bendl, pseudonym: Podskalský (16 April 1838, Prague, Bohemia, Austrian Empire – 20 September 1897, Prague) was a Czech composer."
Tomaso Benvenuti,Tomaso Benvenuti (also spelled Tommasso and Tommaso; 4 February 1838 – 26 February 1906) was a nineteenth-century Italian composer of opera. He was born in Cavarzere in the Veneto and died in Rome at the age of 68.
Peter Benoit,Peter Benoit (17 August 1834 – 8 March 1901) was a Flemish composer of Belgian nationality.
William Sterndale Bennett,"Sir William Sterndale Bennett (13 April 1816 – 1 February 1875) was an English composer, pianist, conductor and music educator. At the age of ten Bennett was admitted to the London Royal Academy of Music (RAM), where he remained for ten years. By the age of twenty, he had begun to make a reputation as a concert pianist, and his compositions received high praise. Among those impressed by Bennett was the German composer Felix Mendelssohn, who invited him to Leipzig. There Bennett became friendly with Robert Schumann, who shared Mendelssohn's admiration for his compositions. Bennett spent three winters composing and performing in Leipzig."
Henri Berger,"Henry or Henri Berger (August 4, 1844 – October 14, 1929) was a Prussian Kapellmeister, composer and royal bandmaster of the Kingdom of Hawaiʻi from 1872 to 1915."
Andreas Peter Berggreen,"Andreas Peter Berggreen (March 2, 1801 – November 8, 1880) was a Danish composer, organist, and pedagogue."
Emerik Beran,Emerik Beran (17 October 1868 – 10 March 1940) was a Slovenian composer and cellist of Czech descent. He educated numerous cellists in Ljubljana as a professor at the Conservatory from 1928 until 1936.[1]
Hermann Berens,"Hermann Berens (7 April 1826 in Hamburg – 9 May 1880 in Stockholm) was a German-born Swedish Romantic composer famous mainly for his piano music, some of which is included in the Royal Conservatory of Music's Syllabus."
Natanael Berg,"Carl Natanael Rexroth-Berg (9 February 1879, Stockholm – 14 October 1957, Stockholm) was a Swedish composer."
Wilhelm Berger,"Wilhelm Reinhard Berger (9 August 1861 – 16 January 1911) was a German composer, pianist and conductor."
Charles Auguste de Bériot,"Charles Auguste de Bériot (20 February 1802 – 8 April 1870) was a Belgian violinist, artist and composer."
Gertrude van den Bergh,Gertrude van den Bergh (c. 21 January 1793 – 10 September 1840) was a Dutch pianist and composer.
Charles-Wilfrid de Bériot,"Charles-Wilfrid de Bériot (12 February 1833 – 22 October 1914) was a French pianist, teacher and composer."
Catalina Berroa,"Catalina Berroa Ojea (28 February 1849 – 23 November 1911) was a Cuban pianist, music teacher and composer. Cuba's first female conductor.[1]"
Hector Berlioz,"Louis-Hector Berlioz[n 1] (11 December 1803 – 8 March 1869) was a French Romantic composer and conductor. His output includes orchestral works such as the Symphonie fantastique and Harold in Italy, choral pieces including the Requiem and L'Enfance du Christ, his three operas Benvenuto Cellini, Les Troyens and Béatrice et Bénédict, and works of hybrid genres such as the ""dramatic symphony"" Roméo et Juliette and the ""dramatic legend"" La Damnation de Faust."
Émile Bernard (composer),Jean Émile Auguste Bernard (28 November 1843 – 11 September 1902) was a French Romantic composer and organist.
José Manuel Jiménez Berroa,"José Manuel (""Lico"") Jiménez Berroa (7 December 1851 – 15 January 1917) was a Cuban pianist and composer."
Henri Bertini,"Henri Jérôme Bertini (28 October 1798 – 30 September 1876) was a French classical composer and pianist. He was born into a family of musicians and attracted the attention of François-Joseph Fétis when he toured Europe as a child prodigy. As an adult he was admired both as a soloist and as a chamber musician; it was said that he played with Johann Nepomuk Hummel's simplicity and elegance without sacrificing the brilliance of the instrument. As a composer he had an original style which was rich in musical ideas, attractive melodies, and effortless harmonies. In 1856, he retired from the musical scene and settled in the Dauphiné in south-east France."
Heinrich Berté,"Heinrich Berté ([berˈte]), born Heinrich Bettelheim (8 May 1858 – 23 August 1924) was an Austria-Hungarian composer of operas and operettas."
Arturo Berutti,"Arturo Berutti (c. 27 March 1862 in San Juan, Argentina - 3 January 1938 in Buenos Aires) was an Argentinian composer of classical music and librettos. He was best known for his notable theme Pampa (1897). The opera was based on the life of Juan Moreira. One of the influential Argentinian opera composers of the late 19th and early 20th century and his music was influenced by the Italian opera. In 1895, he composed the opera Taras Bulba inspired on the novel by Nikolai Gogol."
Louise Bertin,Louise-Angélique Bertin (15 January 1805 – 26 April 1877) was a French composer and poet.[1]
Louis Désiré Besozzi,"Louis-Désiré Besozzi (3 April 1814 – 11 November 1879) was a French pianist, organist and composer. Bezozzi, the fourth generation of this traditional family of wind instrument musicians, composed mainly piano and choral works as well as a four-volume work with exercises for choral singing."
Franz Berwald,"Franz  Adolf Berwald (23 July 1796 – 3 April 1868) was a Swedish Romantic composer. He made his living as an orthopedist and later as the manager of a saw mill and glass factory, and became more appreciated as a composer after his death than he had been in his lifetime."
Hermann Bischoff,Hermann Bischoff (7 January 1868 in Duisburg – 25 January 1936 in Berlin)[1] was a German composer of classical music.
Gopalakrishna Bharati,"Gopalakrishna Bharathi (Tamil: கோபாலகிருஷ்ண பாரதி) (1810–1896) was a Tamil poet and a composer of Carnatic music. He composed the Kathakalakshepam (Tamil: கதாகாலக்ஷேபம்) Nandanar Charitram, two other works in this genre, and many independent kritis."
Henry Bishop (composer),"Sir Henry Rowley Bishop (18 November 1787 – 30 April 1855) was an English composer. He is most famous for the songs ""Home! Sweet Home!"" and ""Lo! Here the Gentle Lark."" He was the composer or arranger of some 120 dramatic works, including 80 operas, light operas, cantatas, and ballets. Bishop was Knighted in 1842.  Bishop worked for all the major theatres of London in his era – including the Royal Opera House at Covent Garden, the Theatre Royal, Drury Lane, Vauxhall Gardens and the Haymarket Theatre, and was Professor of Music at the universities of Edinburgh and Oxford. His second wife was the noted soprano Anna Bishop, who scandalised British society by leaving him and conducting an open liaison with the harpist Nicolas-Charles Bochsa until the latter's death in Sydney."
